"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
1570;US000010708046B1;04.11.2019;ASHRAFI SOLYMAN, US;NXGEN PARTNERS IP LLC, US; [EN] Quantum resistant blockchain with multi-dimensional quantum key distribution; [EN]  A system for generating a blockchain comprises first circuitry for receiving a first group of data. Blockchain processing circuitry generates a blockchain for a plurality of groups of data. The blockchain processing circuitry generates the blockchain by generating a first nonce for a first block of the blockchain. The blockchain processing circuitry performs a first hash using the first group of data and the first nonce as an input to a hash function to generate a first digital signature for the first block as an output. The hash function uses encryption based on quantum key distribution using N-state qudits where N is greater than 2. The block chain processing circuitry receives a second group of data and generates a second nonce for a second block of the blockchain. A second hash is performed using the second group of data, the second nonce and the first digital signature to generate a second digital signature for the second block as an output. The hash function uses encryption ...;US;Jersey;B;US;USA
1571;US000010708042B1;02.12.2019;"RUBENSTEIN REID, US; SCHWARTZ MARK, US; SUNSHINE DAVID, US; WILCOX JASON, US";YIELD SOLUTIONS GROUP LLC, US; [EN] Computer-based systems including blockchains with differential permissioning and vaulting of tokens and token exchanges and methods of use thereof;" [EN]  Systems and methods of the present disclosure include receiving an electronic request to exchange data items. A digital asset associated with the exchange of the data items is generated including a vault unique identifier, and an asset owner. An exchange block is generated on an exchange chain to record the electronic request. An asset copy is generated on the exchange ledger chain to record a non-permissioned copy of the digital asset independent from the vault unique identifier. An asset block is generated on an asset ledger chain to record an authoritative copy of the digital asset associated with the exchange of the data items on the exchange chain; where the asset block header includes an asset block hash concatenated with the vault unique identifier associated with the digital asset. The authoritative copy of the digital asset associated with the electronic request is displayed in response to a user selection. ";US;Jersey;B;US;USA
1572;US000010706472B1;30.07.2019;"BALTER DAVID L, US; MYERS JAMES F, US; STONE ERIC C, US";FLIPSIDE CRYPTO INC, US; [EN] Systems and methods for analysis of digital asset development and transaction behaviors; [EN]  The fundamental health of a crypto-asset is determined based on factors associated with the development and utility of the crypto-asset. Developer activity data associated with the crypto-asset is received from one or more interfaces associated with one or more development servers associated with the crypto-asset, and a developer activity factor is calculated based on the developer activity data. A connection is established to a blockchain server that maintains a blockchain that tracks transactions associated with the crypto-asset, and transaction data for a plurality of the transactions is received from the blockchain server. A project utility factor is calculated based on a plurality of behavioral use cases derived from the transaction data, where the behavioral use cases are respectively associated with different uses of the crypto-asset. Then, a fundamental health score is determined for the crypto-asset based on the developer activity factor and the project utility factor. ;US;Jersey;B;US;USA
1573;US000010700875B1;26.06.2017;"DARUWALLA JAL, US; GRIFFIN PHILLIP H, US; KENNON ASHIA D, US; KNORR MICHAEL, US; KRESSE LYNNEL J, US; MWANGI CATHERINE WANGARI, US; STROBEL-CORT JOANNE, US";WELLS FARGO BANK NA, US; [EN] Systems and methods for value transfers using signcryption;" [EN]  A system, method, and apparatus for providing a value transfer is provided. A method includes creating, by a mobile device, a value transfer message, the message including terms of a value transfer from an account of a sending party to a receiving party or one or more merchants; signcrypting, by the mobile device, the value transfer message using each of the receiving party's public key and the sending party's public and private keys; and sending, by the mobile device, the signcrypted value transfer message to the receiving party, wherein the receiving party can de-signcrypt the signcrypted value transfer message using each of the receiving party's public and private keys and the sending party's public key, and present the value transfer message to a third party to receive the value transfer. ";US;Jersey;B;US;USA
1574;US000010700862B2;08.09.2017;"MANDAL AVRADIP, CA; MONTGOMERY HART, CA; ROY ARNAB, CA";FUJITSU LTD, JP; [EN] Reduced data set digest; [EN]  A method may include obtaining public keys for each user of a set of users, where each user is associated with a unique public key and a unique private key. The method may also include obtaining a designated set of users, where the designated set of users is a subset of the set of users. The method may additionally include generating, using the public keys, a digest associated with the designated set of users. The digest includes reduced data sets in a secure form, where each user of the set of users is associated with one of the reduced data sets that is indicative of whether the user is in the designated set of users, and the reduced data set is accessible using the private key of the user. The method may also include posting the digest to a location accessible from an electronic device of the user. ;US;Jersey;B;JP;Japan
1575;US000010700853B2;09.05.2017;"GARAGIOLA ANDRES, AR; GEAGAN III JOHN B, US; KRAVITZ DAVID W, US; LAPRIDA RAUL O, AR; MASINI DIEGO A, US; PONCELEON DULCE B, US";IBM, US; [EN] Token identity and attribute management; [EN]  One example method of operation may include receiving a request, from an entity, for one or more tokens based on one or more attributes, encrypting and masking the one or more attributes, adding the encrypted and masked one or more attributes to the one or more tokens, and transmitting the one or more tokens to the entity. ;US;Jersey;B;US;USA
1576;US000010699493B2;09.12.2017;HAUSMAN BRIAN, US;HAUSMAN PROPERTIES LLC, US; [EN] System and method for toll transactions utilizing a distributed ledger; [EN]  The present disclosure relates to implementing an electronic toll data collection management system in a decentralized computing network that employs a distributed ledger. An electronic toll data collection management system may comprise a plurality of nodes, wherein the plurality of nodes are connected to each other over a communication network. Each node may have access to a copy of a distributed ledger, wherein the plurality of nodes is configured to utilize blockchain protocols to verify and record a transaction occurring within the distributed ledger. Data may be recorded as a block, wherein a blockchain is formed by the addition of blocks. Each block may be encrypted and linked to a previous block, wherein a consensus must be reached to update the distributed ledger with the addition of a new block. ;US;Jersey;B;US;USA
1577;US000010699340B2;22.07.2019;"BUSH GREGORY FREDERICK, US; FORBES JR  JOSEPH W, US; GORDON III THOMAS MARSHALL, US";EQUITY SHIFT INC, US; [EN] Blockchain instrument for transferable equity; [EN]  Systems and methods for offering and purchasing tokenized securities on a blockchain platform meeting current and future federal, state, and offering and holding entity rules and regulations. Tokenized securities purchased during or after the tokenized securities offering are tradable on a secondary market. The server computer of the tokenized securities provides an automated transfer capability for tokenized securities holders. ;US;Jersey;B;US;USA
1578;US000010698795B2;18.09.2017;"MOORE RUSSELL, US; POWERS KEVIN, US; RIDDICK DONALD MORFORD, US";TOTAL SYSTEMS SERVICES INC, US; [EN] Virtual payments environment; [EN]  A virtual payments environment can be used to simulate and test performance of a payments system. A plurality of characteristics and settings can be used to generate and/or determine one or more scenarios associated with a payments environment. The one or more scenarios associated with the payments environment can comprise a plurality of activity engines that simulate real-word components of a payments environment. Payment information can be introduced to the one or more scenarios and activity engines can be used to test and/or verify the integrity of the payment information as it traverses a transactional path through the payments environment. Performance data associated with the payment information can be accessed and review in order to determine a number or successes and/or failures associated with processing the payment information as it transverses the payments environment. ;US;Jersey;B;US;USA
1579;US000010693646B2;27.02.2018;KURIAN MANU, US;BANK OF AMERICA, US; [EN] Event execution using a blockchain approach; [EN]  Aspects of the disclosure relate to multicomputer systems and methods for data authentication and event execution. Any full node computing device in a network, including a data authentication and event execution computing platform, may receive a blockchain and a token associated with authenticating data included in the blockchain. The computing platform may analyze the data included in the blockchain to determine that another token must be received for data authentication. The computing platform may generate a request for the second token and transmit the request to the appropriate network device. The network device may then either approve or reject the request for an authentication token. If the appropriate number of devices authenticate the data in the blockchain by providing a token, then an associated event may be executed. ;US;Jersey;B;US;USA
1580;US000010692086B2;29.08.2018;"EYERMAN ALEXANDRA T, US; LEONG CHRISTINE, US; TREAT DAVID B, US";ACCENTURE GLOBAL SOLUTIONS LTD, IE; [EN] Distributed ledger based identity and origins of supply chain application enabling financial inclusion and sustainability;" [EN]  Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, employing a permissioned distributed ledger for the promotion of sustainable agriculture. In one aspect, a method includes receiving, from a purchaser of goods, payment data including a targeted payment amount and a product identifier; locating, on a permissioned distributed ledger, an attestation for a delivery of the purchased goods, the permissioned distributed ledger stores verified transactions within a supply chain for the purchased goods; processing the attestation for a delivery from a producer of the purchased goods to determine the producer of the purchased goods; providing payment information including the targeted payment amount to the producer through a producer application; receiving verification, based on biometric authentication, of an identity of the producer from the producer application; and releasing funds for the targeted payment amount to the producer. ";US;Jersey;B;IE;Irland
1581;US000010691648B2;03.07.2018;"ASIF MUHAMMAD TAYYAB, SG; DESHPANDE PRALHAD DINESH, SG";IBM, US; [EN] Controlling volatility via blockchain; [EN]  An example operation may include one or more of receiving cryptocurrency information of a cryptocurrency mined via a blockchain, determining a volatility of the cryptocurrency based on the received cryptocurrency information, in response to the determined volatility being greater than a predetermined threshold, stopping inclusion of transaction data within data blocks for storage on the blockchain, and generating one or more transaction-free data blocks, and storing the one or more transaction-free data blocks within a hash-linked chain of transaction data blocks previously stored on the blockchain. ;US;Jersey;B;US;USA
1582;US000010686799B2;30.04.2018;KELLY JOHN, IE;"DELL PRODUCTS LP, US; EMC IP HOLDING CO LLC, US"; [EN] Blockchain-based method and system for providing tenant security and compliance in a cloud computing environment; [EN]  A blockchain-based method and system for providing tenant security and compliance in a cloud computing environment. Specifically, the method and system disclosed herein implement a marketplace solution which extends blockchain technology to the problem of providing defined security levels in the cloud computing environment. In adapting blockchain technology, the method and system disclosed herein provide a mechanism for guaranteeing tenant security without any implication of trust between security providers and security requestors or consumers. ;US;Jersey;B;US;USA
1583;US000010686590B2;26.12.2017;"CASHA BENJAMIN, US; SANTILLI JOSEPH, US";"CASHA BENJAMIN, US; SANTILLI JOSEPH, US"; [EN] Methods and systems for crowdsourcing an outcome to an issue; [EN]  The disclosure extends to methods, systems, and devices for crowdsourcing an outcome to an issue through a platform. The method includes receiving voting data comprising a vote for an election from a user associated with an account facilitated by a voting server. The method includes generating a record for storing the voting data, wherein the record includes: a hashed identifier assigned to the user of the account, a public key assigned to the user of the account, and the voting data. The method includes broadcasting the record to a distributed network and storing the record on a blockchain database. ;US;Jersey;B;US;USA
1584;US000010682981B2;07.06.2018;"CICCOTTI GIUSEPPE CARDINALE, IT; MAGNOTTA GIUSEPPE, IT; MINUTILLO IVAN, IT; PALUMBI MARCO, IT; PEPE STEFANO, US";UNIQUID INC, US; [EN] Systems and methods for networked device security; [EN]  A networked device includes a network input/output and an access control list with a plurality of different available levels of access for entities communicating with the networked device through the network input/output. An access manager is configured to update the access control list from a blockchain via communication with the blockchain through the network input/output. ;US;Jersey;B;US;USA
1585;US000010681049B2;16.07.2018;"JEUK SEBASTIAN, DE; SALGUEIRO GONZALO, US";CISCO TECH INC, US; [EN] Authentication, authorization and accounting in managed cloud computing services;" [EN]  In an embodiment, a computer implemented method comprises receiving, at a first computing device associated with a managing entity, a request to perform an operation of a managed service; publishing to a first block of a distributed ledger system, by the first computing device associated with the managing entity, identification information of the managing entity; identifying, by a second computing device associated with the managed service, the identification information published to the first block of the distributed ledger system; publishing to a second block of the distributed ledger system, by the second computing device associated with the managed service, acknowledgement information comprising an indication that the identification information of the managing entity published to the first block was received and verified; publishing to a third block of the distributed ledger system, by the second computing device associated with the managed service, management request information ...";US;Jersey;B;US;USA
1586;US000010679215B2;22.02.2016;"CASTINADO JOSEPH BENJAMIN, US; KURIAN MANU JACOB, US; THOMAS RICHARD HUW, US";BANK OF AMERICA, US; [EN] System for control of device identity and usage in a process data network;" [EN]  Systems, computer program products, and methods are described herein for a system for control of device identity and usage in a process data network. The present invention is configured to receive an indication that a user has executed a transaction using a mobile device; receive a request to validate mobile device identity; retrieve financial credentials from the mobile device; retrieve device information associated with the mobile device used in the execution of the transaction; determine whether the retrieved financial credentials and the device information meet a condition of the block chain; receive an indication that the retrieved financial credentials and the device information meet the condition of the block chain thereby validating the request; and allow the execution of the transaction to be completed based on at least receiving the indication that the retrieved financial credentials and the device information meet the condition of the block chain. ";US;Jersey;B;US;USA
1587;US000010677886B2;08.08.2018;MEADOW WILLIAM D, US;LOCATORX INC, US; [EN] Mini blockchain in a chip device and methods of utilization; [EN]  The present disclosure relates to methods and apparatus for creating a Definable Blockchain in a Chip along with other components that can receive process and communicate information to enable locating, identifying, and tracking physical Assets and data contained within the Assets. More specifically, the present disclosure presents a Definable Blockchain in a Chip that can be inserted into product labels or packaging which can communicate via Bluetooth with a Smartphone or other Authenticated Radio Source to update the Definable Blockchain with a validated transaction and then optionally provide that information to a Cloud. ;US;Jersey;B;US;USA
1588;US000010673617B1;23.04.2019;"ANTONIOU GEORGE, US; CARABEO ORESTEBAN, US; ESPINOSA ROBERTO HERNANDEZ, US";"ANTONIOU GEORGE, US; CARABEO ORESTEBAN, US; ESPINOSA ROBERTO HERNANDEZ, US"; [EN] Methods, system and point-to-point encryption device microchip for AES-sea 512-bit key using identity access management utilizing blockchain ecosystem to improve cybersecurity; [EN]  A combined system and not a system separately having a complex system hardware architecture and software with levels of complexity of P2PE, IAM, and BCE. A microcontroller (MC) 64-bit using MC (A) and MC (B) embedded into a device using point-to-point encryption (P2PE) to communicate with the novel IAM blockchain software and a central server database to track all registered and non-registered IoT devices in the BCE. The present invention includes a MC 64-bit method of MC (A) and MC (B) having an advanced encryption standards (AES) strong encryption algorithm (SEA) of 512-bit key utilizing the blockchain ecosystem (BCE), IoT identity to validate transactions between the authentication, and identity of the IoT devices. The MC 64-bit of MC (A) and MC (B) employs a novel AES-SEA 512-bit key to generate a real-time randomly validation symmetrical key encryption in rounds of 10 bits, sending data into the central server and the IAM blockchain software to authenticate each device, track ...;US;Jersey;B;US;USA
1589;US000010671733B2;19.05.2017;"BAKER RONALD B, US; SAGY RAVID, IL";IBM, US; [EN] Policy enforcement via peer devices using a blockchain; [EN]  A blockchain of transactions may be referenced for various purposes and may be later accessed by interested parties for ledger verification or information retrieval. One example method of operation may include one or more of receiving an access request from a requesting device for access to an encryption key associated with a user device, broadcasting the request to peer nodes for approval or disapproval, storing a transaction to a blockchain indicating the approval or disapproval of the request for access to the encryption key, and providing access to the encryption key when the approval is indicated. ;US;Jersey;B;US;USA
1590;US000010671712B1;01.03.2018;"ANDERSON BRIAN KEITH, US; DELONG JOSEPH GREGORY, US; GOLDEN ZACHARY T, US; LINDLEY DAVID, US; LOVE KEVIN D, US; MOORE KASEY T, US; MORTENSEN MALAND KEITH, US; NAGELBERG ALEXANDER BENETTO, US; TRIPATHY SHANTANU K, US";USAA, US; [EN] Virtual notarization using cryptographic techniques and biometric information; [EN]  Methods and systems described in this disclosure electronically notarize a document. The system can receive biometric information from a user, extract characteristics from the biometric information, and compare the characteristics of the biometric information with previously stored characteristics of the user's biometric information. When the characteristics of the biometric information match the previously stored characteristics to a threshold, the system can create an identity of the user using the characteristics of the biometric information. The system can send a document to the user for cryptographic signature and receive an indication that the document has been signed. The cryptographic signature can be generated with a digest of the document, the identity, and a cryptographic key associated with the user. The system can inspect the digest of the document, the cryptographic key, and the identity associated with the document to verify authenticity of the document and the identity ...;US;Jersey;B;US;USA
1591;US000010659236B2;14.08.2019;"HONG JAY WU, KR; KIM HEE SOON, KR; RA SEUNG IL, KR; UHR JOON SUN, KR";COINPLUG INC, KR; [EN] Method for superseding log-in of user through PKI-based authentication by using blockchain database of UTXO-based protocol, and server employing same; [EN]  The present disclosure provides a method for superseding a log-in through PKI-based authentication with respect to a log-in request of a user by using a blockchain database. According to the method, once authentication request information requesting superseding of a log-in through an authentication app is obtained from a service provision app executed on a user terminal, a service provision server transfers authentication request response information to the service provision app and, after an authentication redirection request thereof is transferred to the authentication app and then server challenge request information is obtained, server challenge request response information is transferred to the authentication app, an authentication result message including information on whether certificates of the server and the app are valid is obtained from an authentication server, a predetermined access token is transferred to the service provision app, and thereby the log-in is handled ...;US;Jersey;B;KR;Südkorea
1592;US000010659217B2;05.01.2018;"PURUSHOTHAMAN SASIDHAR, IN; RAMASAMY SUKI, IN";BANK OF AMERICA, US; [EN] Blockchain-based automated user matching; [EN]  Methods, systems, and apparatuses for blockchain-based automated user matching are described herein. In some arrangements, a node within a decentralized peer-to-peer (e.g., P2P) network may receive match parameters from one or more computing devices associated with supply side entities and demand side entities. The node may execute one or more artificial intelligence algorithms to match the supply side entities with the demand side entities based on the received match parameters. In some instances, the artificial intelligence algorithms may be stored in a smart contract on a blockchain and the matching may be performed through execution of the smart contract by nodes of the decentralized P2P network. ;US;Jersey;B;US;USA
1593;US000010657607B2;06.05.2017;LINNE ANNA, US;ADP LLC, US; [EN] Implementation of payroll smart contract on a distributed ledger; [EN]  A method of increasing security and accessibility of data on a computer using a blockchain. A first smart contract is stored on the blockchain. The blockchain prevents alterations to the first smart contract. The first smart contract contains a redirection clause. The first smart contract contains a second clause to pay first wages to an employee upon receipt of a trigger event. A modification to the first smart contract is stored as a second smart contract on the blockchain prior to executing the instructions to pay the wages. The second smart contract contains a clause to pay second wages to the employee. The blockchain prevents any alterations to the second smart contract. Responsive to a trigger event, the first smart contract is executed, including executing the redirection clause prior to executing the second clause. Thereafter the second smart contract is executed and the second wages are directed be paid. ;US;Jersey;B;US;USA
1594;US000010652019B1;28.08.2019;"GURKAN YAKOV, IL; KAHAT RON, IL; KOGAN PABLO, IL; NICOLAS AURÉLIEN RENAUD FRANÇOIS, DE; WALLENSTEIN ORI, IL";QED IT SYSTEMS LTD, IL; [EN] Atomic swap using zero-knowledge proofs, and applications thereof;" [EN]  Disclosed herein are system, method, and computer program product embodiments for performing transactions or atomic swaps using zero-knowledge proofs (&ldquo;ZKPs&rdquo;). A first system may propose a transaction between with a second system. The first system may generate a first ZKP indicating that the first system has possession of an asset desired by the second system and that the first system is committing the asset to the transaction. The second system may also similarly generate a second ZKP. These ZKPs may be encrypted and exchanged. The second system may receive an encrypted version of the first ZKP, perform a decryption using a key specific to the second system, and verify the ZKP. When the parties verify the ZKPs, this confirms that each party has committed the requested asset and that the transaction may proceed. The transaction may be committed to a blockchain. ";US;Jersey;B;IL;Israel
1595;US000010645235B1;25.10.2018;SABANDITH MILONG, US;TOSHIBA TEC KK, JP; [EN] System and method for blockchain ledger over multifunction peripheral network; [EN]  A system and method for distributed multifunction peripheral blockchain ledgering includes a group of networked MFPs, each having a document processing engine, a network interface and an intelligent controller with a processor and memory. An electronic blockchain ledger is stored in memory, along with licensing data designating the multifunction peripheral as trusted. Transaction data is received via the network interface and validated. MFPs poll other trusted, networked multifunction peripherals to validate received transaction data, and update the blockchain ledger in accordance with validated transactions. ;US;Jersey;B;JP;Japan
1596;US000010643208B2;24.02.2019;SHAH SHAHID N, US;NETSPECTIVE COMMUNICATIONS LLC, US; [EN] Digital payment system; [EN]  A digital payment system for facilitating seamless transactions from a user system to a buyer system. The system includes a service provider system which further includes a service interaction component. The service interaction component is configured to collect predefined information about the user system and the associated user. The service provider system also includes a payment engine for processing payments digitally based on data worth associated with the data owned by the user and authorized for sharing by the service provider to the buyer system. The payment engine calculates a payable amount payable digitally by the user to the service provider based on a digital transactional value indicative of the data worth associated with the data owned by the user and authorized for sharing, among other things. The system further includes a pre-consenting system configured to facilitate user authorization. ;US;Jersey;B;US;USA
1597;US000010643139B2;25.09.2017;"ACHARYA AYAN, US; CHAWLA NEERAJ, US; LINDSLEY HANNAH R, US; RANATUNGA DILUM, US; RICAURTE ANDREA M, US; SANCHEZ MATTHEW, US";COGNITIVE SCALE INC, US; [EN] Cognitive attribution;" [EN]  A method, system and computer readable medium for generating a cognitive insight comprising: receiving content element data, the content element data representing a content element, the content element comprising an element of a corpus of content; performing a cognitive learning operation on the content element data, the cognitive learning operation identifying descriptive information associated with the content element; associating a cognitive attribute with the content element using the descriptive information associated with the content element. ";US;Jersey;B;US;USA
1598;US000010637644B1;21.12.2018;"FARIVAR REZA, US; GOODSITT JEREMY EDWARD, US; WALTERS AUSTIN GRANT, US";CAPITAL ONE SERVICES LLC, US; [EN] System and method for authorizing transactions in an authorized member network; [EN]  In the disclosed transaction processing system, members of an authorized network of consumers and merchants manage account information using blockchain ledgers. Because both consumers and merchants maintain copies of the blockchain, for any consumer/merchant transaction, both entities can quickly validate the transaction because both are aware, via their blockchain entries, of the current status of the account sourcing the transaction, allowing fast and accurate transaction validation without the need to incur the processing charges inherent in traditional fiat currency credit transactions. ;US;Jersey;B;US;USA
1599;US000010636033B2;22.02.2016;"JOHNSRUD DARRELL, US; KURIAN MANU JACOB, US; WUEHLER MICHAEL, US";BANK OF AMERICA, US; [EN] System for routing of process authorizations and settlement to a user in a process data network; [EN]  Embodiments of the present invention are directed to routing process authorizations to determine an appropriate legal entity name when an alternate entity name is provided. The system stores alternate entity names in a private or semi-private block chain distributed network, where a block chain ledger keeps an ongoing record of the alternate entity names and their associated legal entity name. When an authorization request is received that does not include a known legal entity name, the system will match the listed entity name with one of the stored alternate entity names, and thereby determine the legal entity name that should be associated with the authorization request. ;US;Jersey;B;US;USA
1600;US000010635471B2;24.02.2016;"DAVIS JOSHUA P, US; MUNOZ RONALD, US";DAVIS JOSHUA PAUL, US; [EN] System and method for an autonomous entity; [EN]  According to an embodiment, a processing network is configured to access a reputation system, provide a first user interface, provide a second user interface, receive a request from a user through the second user interface, retrieve user information from the reputation system, assign a plurality of human intelligence tasks based on the request, receive a plurality of results from the plurality of human intelligence tasks, confirm an identity and a status of the user based on the user information and the plurality of results, execute the request based on confirming the identity and the status of the user, and store evidence of execution of the request as an immutable data entry in a permanent database. The first user interface includes information from the reputation system, and the plurality of human intelligence tasks are assigned to a plurality of participants through the first user interface. ;US;Jersey;B;US;USA
1601;US000010630572B1;20.12.2018;WAGREICH JERRY, US;IPAYED LLC, US; [EN] Open loop, closed loop, real and near real-time computer network system and method therefor; [EN]  A network communication system is disclosed that comprises a communicating device that communicates instruction and data signals over a communication link, a user interface device that communicates instruction and data signals related to the communicating device, an administrator server that communicates with the communicating device and the user interface device, and a transceiver device that interacts with the communicating device and generates a communication signal having transaction event data about the interaction, wherein the administrator server retains and manages a client record associated with the communicating device and a partner record associated with the user interface device. The network communication system may comprise an open loop infrastructure or a closed loop infrastructure. ;US;Jersey;B;US;USA
1602;US000010630463B2;26.02.2018;"MANKOVSKII SERGE, US; VERSTEEG STEVE, AU";CA INC, US; [EN] Meta block chain; [EN]  A fork in a block chain data structure is identified, the block chain data structure including a first set of blocks each describing a respective transaction. The fork includes a first branch beginning with a first block and a second branch beginning with a different second block. The first branch includes a first set of blocks comprising at least the first block, and the second branch includes a second set of blocks including at least the second block. A determination is made, based on a consensus protocol, that the second branch is to be discarded. Accordingly, a meta block is generated to identify and describe the second branch. The meta block is to be included in a meta block chain data structure. The meta block chain data structure is separate from the block chain data structure and comprises meta blocks to record orphan branches of the block chain data structure. ;US;Jersey;B;US;USA
1603;US000010628491B2;09.11.2016;"KNUSZKA RICHARD, GB; SANCHEZ MATTHEW, US; SAXENA MANOJ, US";COGNITIVE SCALE INC, US; [EN] Cognitive session graphs including blockchains;" [EN]  A method, system and computer-usable medium for providing cognitive insights comprising receiving data from a plurality of data sources, the plurality of data sources comprising a blockchain data source, the blockchain data source providing blockchain data; processing the data from the plurality of data sources, the processing the data from the plurality of data sources performing data enriching to provide enriched data; generating the cognitive session graph, the cognitive session graph being associated with a session, the cognitive session graph comprising at least some enriched data; and, associating a cognitive blockchain with the cognitive session graph. ";US;Jersey;B;US;USA
1604;US000010623443B2;10.07.2017;"LANG ULRICH, US; SCHREINER RUDOLF, DE";"LANG ULRICH, US; SCHREINER RUDOLF, DE"; [EN] Method and system for policy management, testing, simulation, decentralization and analysis;" [EN]  A policy management method and system, which determines at least one functional model for the IT system; loads at least one pre-configured policy selection template that indicates at least one policy aspect applicable to the at least one IT system; generates at least one policy user interface that gathers a policy input; receives a policy input loaded from a data storage or a memory or entered by a user via a user interface; loads at least one pre-configured policy generation template that indicates at least one technical rule or configuration aspect of the policy that the policy template pertains to; generates at least one machine-enforceable rule/configuration compliant with the received input policy; transmits the at least one machine-enforceable rule and/or configuration to at least one policy implementation entity; and executes the transmitted at least one machine-enforceable rule/configuration. ";US;Jersey;B;DE;Deutschland
1605;US000010623190B2;08.05.2018;"HELD MATHIAS, DE; KUHNERT DENNIS, DE; SCHERRER ARNE, DE";SAP SE, DE; [EN] Mediated anonymity for permissioned, distributed-ledger networks; [EN]  Techniques are described for anonymity in private-permissioned, distributed ledger networks. A transaction application is implemented by a mediating member of a private-permissioned, distributed ledger network. The mediating member may utilize the transaction application to execute network transactions with respect to the distributed ledger network. In the network transactions, a surrogate member implements or otherwise facilitates the network transaction on behalf of, or with respect to, a participant, in the context of a plurality of related network transactions being mediated by the mediating member for a plurality of participants. In this way, the mediation may be conducted anonymously, while still utilizing the features of the private-permissioned, distributed ledger network. ;US;Jersey;B;DE;Deutschland
1606;US000010621809B2;01.12.2015;"CARD STUART, US; SMOLEN CHRISTOPHER M, US";"CARD STUART, US; SMOLEN CHRISTOPHER M, US"; [EN] Digital currency enabled vending machine; [EN]  A vending machine is described that uses digital currency transactions to enable a user to purchase items from their portable computing device. Using a control system in communication with various components of the vending machine and an internet connection for communicating with a remote digital currency system, such as a bitcoin network, a digital currency processing system executes digital currency transactions and stores the resulting digital currency in a transaction storage repository. The control system initiates dispensing of purchased items based on communication from the digital currency processing system. ;US;Jersey;B;US;USA
1607;US000010621511B2;09.11.2016;"KNUSZKA RICHARD, GB; SANCHEZ MATTHEW, US; SAXENA MANOJ, US";COGNITIVE SCALE INC, US; [EN] Method for using hybrid blockchain data architecture within a cognitive environment;" [EN]  A method for receiving a plurality of types of data within a cognitive information processing system environment comprising: receiving data from a plurality of data sources, the plurality of data sources comprising a public data source and a private data source the public source comprising a public blockchain data source, the private data source comprising a private blockchain data source; accessing information from the plurality of data sources via a cognitive data management module, the information comprising public blockchain information and private blockchain information; and, providing the information to an inference and learning system. ";US;Jersey;B;US;USA
1608;US000010621510B2;09.11.2016;"KNUSZKA RICHARD, GB; SANCHEZ MATTHEW, US; SAXENA MANOJ, US";COGNITIVE SCALE INC, US; [EN] Hybrid blockchain data architecture for use within a cognitive environment;" [EN]  A data architecture for use within a cognitive information processing system environment comprising: a plurality of data sources, the plurality of data sources comprising a public data source and a private data source, the public source comprising a public blockchain data source, the private data source comprising a private blockchain data source; a cognitive data management module, the cognitive data management module accessing information from the plurality of data sources, the information comprising public blockchain information and private blockchain information; and, providing the information to a cognitive inference and learning system. ";US;Jersey;B;US;USA
1609;US000010621233B2;09.11.2016;"KNUSZKA RICHARD, GB; SANCHEZ MATTHEW, US; SAXENA MANOJ, US";COGNITIVE SCALE INC, US; [EN] Cognitive session graphs including blockchains;" [EN]  A method, system and computer-usable medium for providing cognitive insights comprising receiving streams of data from a plurality of data sources; receiving data from a plurality of data sources, the plurality of data sources comprising a blockchain data source, the blockchain data source providing blockchain data; processing the data from the plurality of data sources, the processing the data from the plurality of data sources performing data enriching to provide enriched data; generating the cognitive session graph, the cognitive session graph being associated with a session, the cognitive session graph comprising at least some enriched data; and, associating a cognitive blockchain with the cognitive session graph. ";US;Jersey;B;US;USA
1610;US000010616324B1;20.07.2017;KADDOURA MAHER N, US;ARCHITECTURE TECH CORPORATION, US; [EN] Decentralized ledger system and method for enterprises; [EN]  A computer-implemented method for managing enterprise transactions includes creating an overlay to a physical communications network, adding one or more nodes to the overlay, designating one or more nodes of the overlay as super nodes, generating a distributed ledger to store the transactions, and replicating the distributed ledger to all nodes of the overlay. Generating the distributed ledger includes receiving, at the super nodes, transactions from the one or more nodes, assigning, by the super nodes, the transactions to a variable size block, validating, by the super nodes, the variable size block, and linking the validated variable size block to the distributed ledger. ;US;Jersey;B;US;USA
1611;US000010615970B1;12.02.2018;"GRIFFIN PHILLIP H, US; STAPLETON JEFFREY J, US";WELLS FARGO BANK NA, US; [EN] Secure key exchange electronic transactions; [EN]  A unique transaction key (Tk) is established amongst multiple entities using a common hardware security module (HSM) with a common HMAC key (HK) and transaction scheme name (T). The transaction key (Tk) can be used for various cryptographic functions (e.g. encryption, MAC, HMAC, key management) with one or more messages at the transaction or session level. ;US;Jersey;B;US;USA
